OBJECTID_1,OBJECTID,Codfavela,Nome,Cod_Comple,Complexo,Flag_Ativa,Data_Cadas,Data_saida,Data_Alter,Porte,UPP,ShapeSTArea,ShapeSTLength,Pop_SABREN,Dom_SABREN,Fonte,Bairro_,RP,RA,AP,Shape_ST_1,Shape_ST_2
66,66,598,Parque das Palmeiras,0,Isolada,1,1995-04-26T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,7268.5419921875,525.90911492136,225,67,IBGE - Censo Demográfico 2010,0,4.1,16,4,525.90911492,7268.54267287
67,67,925,Vila Rio Grande,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,8698.13330078125,399.685713730323,136,42,IBGE - Censo Demográfico 2010,0,4.1,16,4,399.68571373,8698.13212925
68,68,1006,Estrada Meringuava,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,1299.62744140625,152.830642448321,77,19,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,152.83064245,1299.62781463
69,69,372,Rua São Tillon,0,Isolada,1,1981-09-22T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,1983.0390625,196.127327089234,116,41,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,196.12732709,1983.03960562
70,70,628,Vila Santa Terezinha,0,Isolada,1,1995-05-16T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,9070.173828125,489.137493857225,168,51,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,489.13749386,9070.17334648
71,71,462,Cambalacho,2106,Muzema,1,1991-07-23T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,29863.455078125,741.681001993981,1477,499,IBGE - Censo Demográfico 2010,0,4.2,24,4,741.68100199,29863.4550159
72,72,370,Muzema,2106,Muzema,1,1981-09-24T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,87969.4184570312,3636.41929625273,4503,1528,IBGE - Censo Demográfico 2010,0,4.2,24,4,3636.41929626,87969.4196573
73,73,361,Angu Duro,0,Isolada,1,1981-09-24T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,18274.3305664062,883.353845738214,493,152,IBGE - Censo Demográfico 2010,0,4.2,24,4,883.35384574,18274.3326388
74,74,908,Regata,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,24943.3989257812,1190.95082040182,662,253,IBGE - Censo Demográfico 2010,0,4.2,24,4,1190.9508204,24943.4032978
75,75,907,"Estrada de Jacarepaguá, nº 2.679",0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4590.6552734375,270.858305939846,36,13,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,270.85830594,4590.6550177
76,76,560,Estrada do Sertão,0,Isolada,1,1992-01-14T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,86175.953125,2468.09784079848,1127,356,IBGE - Censo Demográfico 2010,0,4.1,16,4,2468.0978408,86175.95544
77,77,587,A.M. e Amigos de Rio das Pedras,2098,Rio das Pedras,1,1995-05-06T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,68311.2470703125,1662.56831489459,8677,3439,IBGE - Censo Demográfico 2010,0,4.1,16,4,1662.5683149,68311.2505601
78,78,256,Rio das Pedras,2098,Rio das Pedras,1,1981-09-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,549038.662109375,6790.34359034876,54776,18692,IBGE - Censo Demográfico 2010,0,4.1,16,4,6790.34359036,549038.66541
79,79,808,"Estrada Curipós, nº 310",0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,8184.013671875,654.315225141255,89,28,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,654.31522514,8184.01303
80,80,801,A.M. Novo Rio de Jacarepaguá,2091,Canal do Anil,1,2004-01-01T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,41901.5673828125,903.80939006053,1038,313,IBGE - Censo Demográfico 2010,0,4.1,16,4,903.80939006,41901.5668126
81,81,240,Canal do Anil,2091,Canal do Anil,1,1981-09-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,129773.819335938,5770.9900473499,4794,1491,IBGE - Censo Demográfico 2010,0,4.1,16,4,5770.99004734,129773.820827
82,82,1018,Caminho do Outeiro,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,2503.53857421875,238.212401888354,87,21,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,238.21240189,2503.53915908
83,83,919,Vila da Conquista,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,Cidade de Deus,12892.8715820312,692.107014055619,278,80,IBGE - Censo Demográfico 2010,0,4.1,16,4,692.10701405,12892.8721011
84,84,597,Vila Nova Esperança,0,Isolada,1,1995-04-27T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,111186.880859375,1330.43112110007,5500,1772,IBGE - Censo Demográfico 2010,0,4.1,16,4,1330.4311211,111186.879524
85,85,549,Avenida das Lagoas,2091,Canal do Anil,1,1991-08-22T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,23558.673828125,987.134181696126,1076,386,IBGE - Censo Demográfico 2010,0,4.1,16,4,987.1341817,23558.6748463
86,86,205,"Rua Araticum, nº 832",2088,Araticum,1,1991-08-19T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,26286.7924804688,727.081314856871,635,210,IBGE - Censo Demográfico 2010,0,4.1,16,4,727.08131486,26286.7912301
87,87,544,Estrada do Quitite,2088,Araticum,1,1991-08-06T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,33737.9443359375,1314.18887762595,839,237,IBGE - Censo Demográfico 2010,0,4.1,16,4,1314.18887762,33737.9425292
88,88,237,Araticum,2088,Araticum,1,1981-09-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,46982.3999023438,1656.45385157645,2300,718,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,1656.45385158,46982.4007646
89,89,432,Nova Esperança (RA - Jacarepaguá),0,Isolada,1,1988-08-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,2630.412109375,203.630133595738,129,43,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,203.6301336,2630.41315426
90,90,809,"Rua Aldo Rangel, nº 198",0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,3154.845703125,223.451745971003,162,52,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,223.45174597,3154.84542631
91,91,550,"Estrada do Engenho d'Água, nº 260 Fundos",0,Isolada,1,1991-07-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,1821.6904296875,185.755121460171,46,15,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,185.75512146,1821.69127408
92,92,1043,"Estrada de Jacarepaguá, nº 6.590",0,Isolada,1,2009-03-24T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,2001.95361328125,200.182774341604,108,35,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,200.18277434,2001.95365631
93,93,920,Vila O - Conj. Vila Nova Cruzada,2101,Via O,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,Cidade de Deus,6705.1611328125,1048.67846204906,342,128,IBGE - Censo Demográfico 2010,0,4.1,16,4,1048.67846204,6705.16284658
94,94,596,Travessa Efraim,2101,Via O,1,1995-03-31T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,Cidade de Deus,22724.2114257812,1307.50988834842,929,267,IBGE - Censo Demográfico 2010,0,4.1,34,4,1307.50988835,22724.21083
95,95,876,"Rua Moisés, nº 87",0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,Cidade de Deus,7923.81591796875,366.558837516917,587,172,IBGE - Censo Demográfico 2010,0,4.1,16,4,366.55883752,7923.81459001
96,96,766,Rua Daniel,2096,Inácio do Amaral,1,2002-12-17T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,Cidade de Deus,9092.3583984375,713.573278116597,100,29,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,713.57327811,9092.35800925
97,97,767,Praça da Bíblia,2096,Inácio do Amaral,1,2002-12-17T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,Cidade de Deus,10244.1630859375,1141.65312704031,535,176,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,34,4,1141.65312705,10244.1628062
98,98,875,Pantanal,2096,Inácio do Amaral,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,Cidade de Deus,10205.7368164062,763.052330503943,191,62,IBGE - Censo Demográfico 2010,0,4.1,16,4,763.05233051,10205.7366465
99,99,768,Pantanal I (RA - Jacarepaguá),2096,Inácio do Amaral,1,2002-12-17T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,Cidade de Deus,7345.45703125,1081.87418899141,206,52,IBGE - Censo Demográfico 2010,0,4.1,16,4,1081.87419,7345.45722345
